,job_titles,companies,company_ratings,locations,post_dates,Salary,Excel,Python,R,Java,Scala,C/C++,MATLAB,SAS,SQL/databases,Oracle,SPSS,Machine Learning,Data Mining/Analytics,Visualisation,Big Data,AWS Cloud,Jason,xml,Azure,Google Cloud,IBM,Operations research,DevOps,Git,presentation,management,agile,SDLC,decision making,problem solving,project_management,leadership,consulting
85,Senior Data Scientist,Hopper,,Canada,30+ days ago,,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"Data Scientist: Pricing, Fraud, Monetization",Digital Extremes,5.0,"London, ON",30+ days ago,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
87,"Data Scientist, Account Management Automation",Square,3.6,"Toronto, ON",1 day ago,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
88,Data Scientist,"Amazon Web Services Canada, In",3.6,"Vancouver, BC",23 days ago,,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
89,NLP Developer,Valital Technologies Inc.,,"Montréal, QC",25 days ago,"$60,000 - $85,000 a year",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
90,Data Scientist/Machine Learning Engineer,Staffinity Inc.,4.5,,28 days ago,"$80,000 - $120,000 a year",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Data Scientist Expert / Data Scientist Expert,Groupe Neos,,"Montréal, QC",30+ days ago,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1
92,"Director, Data & Analytics",Secret Location,4.3,"Toronto, ON",Today,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
93,Data Scientist,Index Exchange,3.5,"Toronto, ON",22 days ago,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
94,"Manager, Data Science Engineering",Aviva,3.9,"Markham, ON",1 day ago,,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
95,Data Scientist,Torstar,3.8,"Toronto, ON",28 days ago,,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
96,Senior Applied Research Scientist,ZeroKey,,"Calgary, AB",14 days ago,"$100,000 - $125,000 a year",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
97,Data Scientist,Accedian Networks,3.6,"Ottawa, ON",30+ days ago,,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
98,Data Scientist,CGI Inc,3.6,"Sherbrooke, QC",4 days ago,,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1
99,Data Scientist / Scientifique des données,agileDSS,,Remote,16 days ago,,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
100,Applied Research Scientist,Wenco (a Hitachi Subsidiary),,"Richmond, BC",30+ days ago,,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
101,Data Analyst,Cognizant Technology Solutions,3.9,"Mississauga, ON",7 days ago,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Scientifique des données et appliqué/ Data & Applied Scientist,Microsoft,4.2,"Montréal, QC",28 days ago,,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
103,"Master, Data Scientist",Trader Corporation,3.5,"Toronto, ON",24 days ago,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
104,"Developer, Data Science",Bell Canada,3.9,"Mississauga, ON",Today,,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
105,Senior Data Analyst,Wattpad,4.5,"Toronto, ON",Today,,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
106,Data Scientist,Canadian Security Intelligence Service,4.4,"Ottawa, ON",30+ days ago,"$95,350 - $116,060 a year",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
